date,title,amount
2026-08-23,IOF de volta de Amazon Prime Br,"- 0,99"
2026-08-23,IOF de volta de Uber *Trip Help.Uber.C,"- 6,36"
2026-08-21,Amazon Prime Br,"28,25"
2026-08-21,"IOF de ""Amazon Prime Br""","0,99"
2026-08-21,Cinemark Shopping,"140,36"
2026-08-21,IOF de volta de Uber *Trip Help.Uber.C,"- 7,20"
2026-08-21,Toro Bar Scl,"261,80"
2026-08-21,Uber *Trip Help.Uber.C,"181,69"
2026-08-21,"IOF de ""Uber *Trip Help.Uber.C""","6,36"
2026-08-20,Restaurante Sabor Caseiro,"243,00"
2026-08-20,Padaria Bom Pao,"138,19"
2026-08-19,Uber *Trip Help.Uber.C,"205,68"
2026-08-19,"IOF de ""Uber *Trip Help.Uber.C""","7,20"
2026-08-18,IOF de volta de Uber *Trip Help.Uber.C,"- 2,54"
2026-08-18,Toro Bar Scl,"293,51"
2026-08-16,Academia Smart Fit,"52,10"
2026-08-16,Uber *Trip Help.Uber.C,"72,57"
2026-08-16,"IOF de ""Uber *Trip Help.Uber.C""","2,54"
2026-08-16,Cinemark Shopping,"105,35"
2026-08-16,Livraria Cultura,"208,51"
2026-08-15,Farmacia Sao Paulo,"163,19"
2026-08-14,Netflix.com,"122,70"
2026-08-13,Livraria Cultura,"268,19"
2026-08-13,Cinemark Shopping,"26,06"
2026-08-13,Farmacia Sao Paulo,"284,32"
2026-08-13,Cinemark Shopping,"115,16"
2026-08-12,Toro Bar Scl,"12,38"
2026-08-12,IOF de volta de Mercadopago *Jetsmart,"- 7,45"
2026-08-12,iFood *IfoodPagament,"162,57"
2026-08-12,Farmacia Sao Paulo,"121,71"
2026-08-12,iFood *IfoodPagament,"238,66"
2026-08-11,Netflix.com,"243,10"
2026-08-11,IOF de volta de Amazon Prime Br,"- 9,45"
2026-08-11,Mercadopago *Jetsmart,"50,09"
2026-08-11,Amazon Prime Br,"289,49"
2026-08-10,Mercadopago *Jetsmart,"212,85"
2026-08-10,"IOF de ""Mercadopago *Jetsmart""","7,45"
2026-08-10,Amazon Prime Br,"269,86"
2026-08-10,"IOF de ""Amazon Prime Br""","9,45"
2026-08-09,Amazon Prime Br,"70,03"
2026-08-09,"IOF de ""Amazon Prime Br""","2,45"
2026-08-09,IOF de volta de Amazon Prime Br,"- 2,45"
2026-08-09,Mercadopago *Jetsmart,"206,96"
2026-08-09,Padaria Bom Pao,"82,51"
2026-08-09,Academia Smart Fit,"277,12"
2026-08-09,Academia Smart Fit,"42,10"
2026-08-08,Posto Ipiranga,"12,83"
2026-08-08,Farmacia Sao Paulo,"31,82"
2026-08-08,Netflix.com,"291,47"
2026-08-08,Academia Smart Fit,"57,70"
2026-08-05,Spotify Brasil,"86,97"
2026-08-05,Posto Ipiranga,"23,74"
2026-08-04,Posto Ipiranga,"298,86"
2026-08-03,Mercadopago *Jetsmart,"202,70"
2026-08-03,IOF de volta de Amazon Prime Br,"- 1,81"
2026-08-02,IOF de volta de Uber *Trip Help.Uber.C,"- 2,66"
2026-08-01,Amazon Prime Br,"51,66"
2026-08-01,"IOF de ""Amazon Prime Br""","1,81"
2026-08-01,Restaurante Sabor Caseiro,"193,49"
2026-07-31,Mercadopago *Jetsmart,"70,85"
2026-07-31,DI*Uberrides,"193,80"
2026-07-31,iFood *IfoodPagament,"77,76"
2026-07-31,IOF de volta de Mercadopago *Jetsmart,"- 0,84"
2026-07-30,iFood *IfoodPagament,"141,37"
2026-07-30,Uber *Trip Help.Uber.C,"76,06"
2026-07-30,"IOF de ""Uber *Trip Help.Uber.C""","2,66"
2026-07-30,Mercadopago *Jetsmart,"23,89"
2026-07-30,"IOF de ""Mercadopago *Jetsmart""","0,84"
2026-07-29,Livraria Cultura,"196,72"
2026-07-29,Academia Smart Fit,"104,30"
2026-07-28,IOF de volta de Amazon Prime Br,"- 3,05"
2026-07-28,Netflix.com,"160,66"
2026-07-26,Amazon Prime Br,"87,00"
2026-07-26,"IOF de ""Amazon Prime Br""","3,05"
2026-07-26,IOF de volta de Mercadopago *Jetsmart,"- 9,60"
2026-07-25,Posto Ipiranga,"129,47"
2026-07-25,Amazon Prime Br,"33,53"
2026-07-25,Restaurante Sabor Caseiro,"73,67"
2026-07-25,Mercadopago *Jetsmart,"274,38"
2026-07-25,"IOF de ""Mercadopago *Jetsmart""","9,60"
2026-07-25,IOF de volta de Mercadopago *Jetsmart,"- 0,87"
2026-07-24,Restaurante Sabor Caseiro,"37,35"
2026-07-24,Mercadopago *Jetsmart,"24,88"
2026-07-24,"IOF de ""Mercadopago *Jetsmart""","0,87"
2026-07-23,Toro Bar Scl,"69,50"
2026-07-23,Toro Bar Scl,"213,81"
